,NAME,COHORT,DESCRIPTION
62,AI Insurance,w2019,"AI Insurance builds cloud-based claims management software for the entire insurance industry. 90% of the industry doesn't have decent software to handle their claims, and we provide it at a subscription price they can afford."
63,Allure Systems,w2019,AllureSystems uses A.I. to create stunning apparel images for eCommerce. Allure works with leading fashion retailers to improve conversion rates by creating images that resonate with their clients in a scalable and cost effective way.
64,Alpaca,w2019,API for Free Stock Trading
65,AmpUp,w2019,Airbnb for EV-charging
66,Askdata,w2019,Easy data search for employees through Natural Language
67,Atomic Alchemy,w2019,Manufacturing nuclear medicine
68,Aura Vision,w2019,Visitor analytics for physical retail stores using existing security cameras.
69,Avo,w2019,Prevents human error when implementing analytics
70,AXDRAFT,w2019,AXDRAFT helps prepare legal documents 7 times faster with no mistakes. We do this by taking your existing documents and turning them into a very simple Q&A process.
71,Balto,w2019,Balto lets you create and manage your own fantasy sports games like March Madness Brackets and NFL Survivor Pools.
72,Basement,w2019,The social network for your close friends.
73,Bensen,w2019,Building voice ordering experiences to replace the drive-thru.
74,Blueberry Medical,w2019,"Unlimited, 24/7 access to pediatricians via your smartphone for peace of mind and avoiding unnecessary ER, Urgent Care, and doctor visits."
75,Bot Orange,w2019,"Intercom for WeChat, help companies to acquire, engage, retain customers via WeChat. We built a customer management tool for WeChat. It provides a customer support ticket, includes a chatbot, and provides analytics to the business."
76,Bottomless,w2019,Automatic home restocking using weight sensors to figure out the best time to re-order.
77,Boundary Layer Technologies,w2019,High speed container ships using hydrofoils.
78,BrainKey,w2019,BrainKey empowers individuals to better understand themselves with a cloud-based brain scan visualization and analytics solution.
79,Brew.com,w2019,Brew helps audio creators monetize and engage with their audience
80,Calii,w2019,Pinduoduo for Latin America.
81,Career Karma,w2019,Helps job training programs find qualified applicants.
82,CareerTu,w2019,"Online school for digital marketing, data analytics and UX/UI."
83,Catch,w2019,"Redesigning benefits for the people. A personal benefits platform with you at the center. A way to handle taxes, retirement, time off, health insurance, and student loan refinancing — all in one place."
84,Centaur Labs,w2019,Labeling medical images at scale
85,Chaser,w2019,"Your success playbook. Simple, elegant, and delightful workflow tools for Customer Success teams."
86,Cherry,w2019,Cherry lets employees choose their own workplace perks.
87,Cityfurnish,w2019,Cityfurnish - Rental Subscriptions for Furniture and Appliance in India.
88,Convictional,w2019,Software for manufacturers and brands to sell to any retailer.
89,COUTURME,w2019,"We custom design and produce women's formal dresses, starting with the wedding gowns. We can do that without designers and pattern makers, by using our own CAD software."
90,CredPal,w2019,CredPal is a modern credit card company in Africa that allows consumers make purchases and pay in monthly installments across online and offline merchants.
91,Cuanto,w2019,Helping Latin American sellers get paid via WhatsApp and Instagram
92,DevFlight,w2019,Getting open-source developers paid.
93,Dockup,w2019,On demand staging environments for engineering teams
94,Dyneti Technologies,w2019,Reduce payment fraud
95,Evo.Do,w2019,QA Bots for Games
96,Excepgen,w2019,"Excepgen produces difficult proteins at scale, quickly."
97,Flockjay,w2019,online bootcamp to learn tech sales
98,Friendshop,w2019,Unlock deals on premium beauty products when you shop with your friends.
99,Fuzzbuzz,w2019,Fuzzing as a Service
100,Geosite,w2019,"Geosite is an enterprise SaaS platform for spatial data. Through pairing a marketplace with integrated data management and collaboration tools, Geosite enables customers to leverage spatial data for more rapid and accurate planning and operations."
101,Glide,w2019,Amazing apps from spreadsheets
102,GoLinks,w2019,"Internal, human-readable short links for teams. GoLinks allows companies to increase productivity, by creating memorable short links for every internal company URL. These internal link systems have been a standard for productivity at major companies."
103,Gordian Software,w2019,Gordian Software provides the only API for travel booking websites to reserve seats and bags.
104,Green Energy Exchange,w2019,We deliver affordable renewable energy direct to customers and are creating a business to make green energy accessible to everyone.
105,Habitat Logistics,w2019,We Power Delivery for Restaurants
106,Handle.com,w2019,Handle automates the collection process of unpaid construction invoices.
107,Heart Aerospace,w2019,"Heart makes electric airplanes with an all-electric range of 250 miles. We have support and grants from the Swedish government, and LOIs from Scandinavian Airlines (SAS), BRA and Wideroe for 86 planes, worth $1.6B."
108,Inito,w2019,Fertility Clinic on your phone.
109,InsideSherpa,w2019,"Online courses for large companies to train, and then hire, college students"
110,InterPrime,w2019,Cash Management Made Easy
111,Journey,w2019,"Journey is a mobile platform for guided audio and video courses. We empower creators, coaches, and experts to build amazing subscription businesses around their content."
112,Kalshi,w2019,"Kalshi is a prediction market where people can trade on anything with anyone. It can be on questions from ""Will Brexit happen by the end of the month?"" to ""Who will win the Oscars?""."
113,Keeper,w2019,Automatic tax write offs for contractors
114,Latchel,w2019,24/7 emergency maintenance department for property managers and landlords.
116,Mage,w2019,Stock Market for Magic: The Gathering
117,Maitian.ai,w2019,"We make $1,000 Amazon Go stores."
118,Manycore.io,w2019,ManyCore.io speeds up computer programs by spreading them automatically onto several cores
119,Memfault,w2019,Memfault builds developer tools for firmware engineers.
120,Modern Labor,w2019,Hire technical talent fast.
121,Modoo Technology,w2019,Modoo develops safe and non-invasive tech to help mother-to-be to monitor fetal heart rate and movement. Mothers can benefit from safer and enjoyable pregnancy from its online consultation. Modoo is creating an AI system that prevents fetal distress.
122,Mudrex,w2019,Invest like a professional trader
123,MyScoot,w2019,AirBnB for home hosted social events - we help you meet new people in your city
124,Nabis,w2019,Nabis ships cannabis products for brands to retailers.
125,NALA,w2019,Internet-Free Payments for Africa
126,Nowports,w2019,Nowports is a digital Freight Forwarder shipping ocean containers to and from Latin America.
127,Numero,w2019,Modern financial software that powers our democracy.
128,Okteto,w2019,The missing application development platform for Kubernetes
129,Our World in Data,w2019,Open access research and data visualization on global development
130,Pachama,w2019,Helping companies achieve carbon neutrality with reforestation carbon offsets.
131,PadPiper,w2019,Find furnished apartments and compatible housemates
132,Point,w2019,We're building an aspirational mobile banking experience.
133,Portal Entryways,w2019,"Portal Entryways upgrades handicap accessible doors so they can be opened, completely hands-free, by any smartphone."
134,Positive,w2019,Next generation grab & go food brand
135,Postscript,w2019,Postscript is Mailchimp for SMS -- A text message marketing automation platform for ecommerce companies.
136,PreFlight,w2019,Automated Software Testing
137,Prometheus,w2019,We remove CO2 from the air and turn it into gasoline
138,Pronto,w2019,Ride-sharing for second-tier cities in Latin America.
139,Pulse Active Stations Network,w2019,We are a connected network of smart health kiosks in India.
140,Releaf,w2019,We use hardware innovation to sell high quality raw materials to food factories in Africa
141,Rune,w2019,Rune connects mobile gamers on voice chat and finds them teammates
142,Sapling Intelligence,w2019,AI writing assistant for businesses.
143,Saratoga Energy,w2019,"We sell better carbon nanotubes at one-twentieth the price. Carbon nanotubes are used in a variety of markets and applications such as aerospace, batteries, high-strength roads and concrete, as well as carbon fiber."
144,Seawise Capital,w2019,Trade finance company for Indian exporters
145,Shiok Meats,w2019,"Shiok Meats is a cell-based clean shrimp company, the first of its kind. We employ cellular agriculture to grow crustacean meat by using cells instead of animals."
146,Skill-lync,w2019,"Online engineering college for India. We started by providing Mechanical Engineering courses and will expand to all other engineering domain by next year. Our current monthly revenue is $82,000 and we are profitable. We are growing 15% MoM."
147,Slapdash,w2019,Work across all of your cloud apps at desktop speed.
148,Spiral Genetics,w2019,Large Scale Genomic Data Mining Software
149,Sunsama,w2019,"Sunsama is daily task list for the top 10% of knowledge workers. YC founders use it with their teams to manage their daily workload. It’s part task list, part calendar, built to complement your existing tooling (Asana/Jira/Google Calendar/etc.)."
150,Superb AI,w2019,Superb AI uses AI to build annotated training data for tech companies and help them develop machine-learning based features and products faster.
151,Supernova,w2019,"Supernova automates development of mobile applications by converting designs (in Sketch, Figma etc.) to actual production-ready code for iOS, Android, React Native and Flutter, saving about 30% on each mobile application made."
153,Tailor-ED,w2019,"A K-12 instructional platform, that helps teachers find the most effective educational content for each student."
154,Taobotics,w2019,Autonomous robots for retails.
155,Team Mobot,w2019,Team Mobot is an on-demand mobile app QA service that uses robots to test on actual devices.
156,Termius,w2019,Termius is an SSH client that works on desktop and mobile. The reason sysadmins and DevOps love Termius because it syncs data.
157,The Juggernaut,w2019,A premium publication for South Asian stories
158,Thrive Agric,w2019,"Thrive Agric helps Farmers in Africa access finance, best practices and large produce buyers like Unilever and Nestle."
159,Travelchime,w2019,Google Docs for planning leisure travel with your friends' recommendations
160,Traverse Technologies,w2019,AI driven professional engineering firm
161,Trestle,w2019,Internal Bookface for companies and communities!
162,Trexo Robotics,w2019,"Wearable robots to help people walk, starting with children with Cerebral Palsy."
163,Union Apartment,w2019,"Furnished Co-living Apartments for International Students, here in the US."
164,Upsolve,w2019,TurboTax for Bankruptcy (nonprofit)
165,VanGo,w2019,Uber for Kids
166,Vectordash,w2019,Play high-end PC games on your laptop by streaming them.
167,Verto FX,w2019,Verto is a b2b currency exchange marketplace for illiquid currencies. With Verto businesses can exchange foreign currencies easily and make international payments seamlessly.
168,Viosera Therapeutics,w2019,We solve drug resistance for cancer and antibiotics
169,VotingWorks,w2019,Non-profit building secure and affordable voting machines for US elections.
170,WeatherCheck,w2019,"WeatherCheck monitors properties for hail damage so that insurance carriers, mortgage companies, and property owners can take action."
171,Withfriends,w2019,Withfriends runs membership programs for small businesses.
172,"Woody Library (Socrates Intelligence,Co.,Ltd.)",w2019,"Woody Library is Netflix for physical books in China. Our model for now is just like the Netflix’s DVD subscription but for books. We’ve done more than $66k revenue so far in March.More than 10,000 subscribers. The book market in China is worth $22B."
173,WorkClout,w2019,SaaS Software helping manufacturers increase their factory’s operational efficiency.
174,YourChoice Therapeutics,w2019,YourChoice therapeutics is revolutionizing the contraceptive market by developing a first-in-class non-hormonal unisex contraceptive.
175,YSplit,w2019,"YSplit charges roommates their share of the bills separately, once a month."
176,Aalo,s2018,"Lego-like furniture for design geeks. We create furniture that's hackable, reusable, and customizable to fit your space perfectly no matter how many times you move."
177,Abacus,s2018,The modern platform for legal and compliance workflows.
178,Ajaib,s2018,The first online wealth manager in Indonesia
179,Allotrope Medical,s2018,Advancing surgical precision through safe electrical stimulation. Allotrope Medical's platform technology diagnoses tissue dysfunction and identifies hidden anatomic structures prone to injury during surgery.
180,Alpha Vantage,s2018,We build accessible and easy to use APIs for financial market data.
181,And Comfort,s2018,And Comfort is a direct to consumer fashion brand for plus-size women. We make plus-size basics and sell then online at andcomfort.com.
182,Anima App,s2018,We convert design to code
183,AnnieCannons,s2018,A custom software development consultancy powered by survivors of human trafficking we have transformed into software engineers. We provide software-development-as-a-service on-demand.
184,Apprentice Health,s2018,We deploy sensors and software that increase hospital efficiency.
185,AskMyClass,s2018,The first voice assistant for teachers.
186,Berbix,s2018,Identity verification and fraud deterrence as a service. Berbix makes it easy for companies to collect and instantly verify photo IDs.
187,BHRD,s2018,"BHRD (""Be Heard"") helps public companies communicate with investors."
188,BlueCargo,s2018,BlueCargo helps marine port terminals streamline container management in the yard area.
189,Bot MD,s2018,AI assistant for Doctors
190,BrainHi,s2018,An automated receptionist for doctor and dentist offices that rescues missed calls and chats with patients automatically.
191,BuyCoins,s2018,Cryptocurrency exchange for Africa
192,Camelot.ai,s2018,The best way for gaming content creators to engage and monetize their audience
193,Canary Technologies,s2018,We bring offline hotel bookings online.
194,CB Therapeutics,s2018,We produce pure cannabinoids like CBD and THC using yeast and sugar. No plants involved.
195,College Pulse,s2018,Survey research and analytics company focused on college students.
196,Corvus Robotics,s2018,Autonomous drones to help warehouses scan inventory.
197,CowryWise,s2018,"CowryWise is a wealth management platform for young Africans. With our platform, they can plan and automate their savings and investments towards meeting their financial goals."
198,CSPA,s2018,"The Computer Science Proficiency Assessment (CSPA™) is a comprehensive standardized exam for software engineers. We find software engineers to take the test, and then share their assessment results with employers."
199,Curebase,s2018,Distributed clinical trials.
200,Cytera CellWorks,s2018,Machines that automate the growing of human cells for biotech. Cutting-edge cancer treatments are driving huge demand for these kinds of cells at scale
201,Data Driven Bioscience,s2018,"Cancer Diagnosis 10X faster, 10X cheaper"
202,Dataform,s2018,Data management for modern data teams
203,Demeanor.co,s2018,Now part of thentwrk.com
204,Dinesafe,s2018,We crowdsource food poisoning reports and help detect and prevent outbreaks.
205,Eva Tech,s2018,Eva is the first noninvasive wearable device for breast cancer detection
206,ExceptionALLY,s2018,Affordable expertise for special needs parenting.
207,FameGame,s2018,Live and interactive TV shows for mobile - starting with American Idol meets HQ Trivia
208,Federacy,s2018,Security testing and bug bounty platform.
209,Fintual Inc.,s2018,Roboadvisor for Latin America
210,Fixers,s2018,"Fixers is a travel and experiences marketplace. Our sellers range from yoga retreats in Mongolia, brown bear watching in Romania to music festivals in Croatia. Fixers helps you discover unique trips you can't find anywhere else."
211,FREY,s2018,"FREY is a line of exceptional laundry and clothing care products. FREY is meticulously designed to smell better, treat your clothing better, and generally be better: for you, for others, and for the planet."
212,Goodly,s2018,Student loan repayment as an employee benefit.
213,Grabb-It,s2018,Grabb-It is a location based Dynamic Digital - OOH advertising platform. We turn rideshare cars into digital billboards. We install small hardware in cars which displays advertisement to out of car audience.Brands/local business are our advertisers.
214,Grin,s2018,Microbility and payments platform for Latin America
215,HeyDoctor,s2018,"HeyDoctor provides online primary care (like refilling birth control, hair loss prevention, UTI treatments, labs, and more) from expert doctors in under 5 minutes right from your phone or browser."
216,Highrise,s2018,Highrise is a creative virtual world where people can express themselves in unique and authentic ways while making meaningful friendships.
217,HoneyLove,s2018,HoneyLove makes undergarments for women that apply compression to targeted areas to improve body shape and support posture.
218,hypcloud,s2018,A tech-enabled commercial mortgage broker. hypcloud allows property developers to borrow amounts between 5m and 50m from banks.
219,iLabService,s2018,Monitoring & Analytics for Lab Services
220,Incentivai,s2018,Tool for simulating smart contract economies using Machine Learning agents prior to deployment onto blockchain.
221,INKHUNTER,s2018,Augmented Reality mobile app to try and buy tattoos
222,Inokyo,s2018,We bring physical stores to the digital age with cashierless checkout.
223,Inscribe,s2018,API to identify fraudulent documents.
224,Ixora,s2018,We create the digital outdoor environment for a movie.
225,JetLenses,s2018,"Amazon for medical products, starting with contact lenses."
226,JITX,s2018,Automatic circuit board design.
227,Khatabook,s2018,India's first AI powered SMS Inbox
228,Kinside,s2018,Child care employee benefits
229,Klarity,s2018,A.I. Contract Lawyer
230,Kobo360,s2018,"With Kobo's platform, companies now have easy access to a large pool of trucks with real-time tracking at affordable and flexible rates. Drivers conveniently find loads they want, are paid instantly and get reverse loads."
231,Kunduz,s2018,Kunduz provides instant answers to students' test prep questions and makes test prep 10x faster and 10x cheaper than any private tutor.
232,Leena AI,s2018,"We at Leena AI build a virtual assistant that answers employee's HR questions eg. How do I sign up for dental insurance, What's my 401k contribution? Why is my salary less this month? As a result, an HR professional can save 4 hours a day."
233,LemonBox,s2018,Customized daily vitamin packs for Chinese consumers.
234,Medinas Health,s2018,Medinas Health helps hospitals redeploy and resell their excess medical supplies & equipment.
235,MentalHappy,s2018,"We help employers send tangible mental health tools and resources to employees when they experience a traumatic life event; injury, illness, loss, anxiety and other emotional traumas."
236,Meru Health,s2018,"Meru Health is a digital clinic for mental health. We offer an app-based treatment program that is supported by remote licensed therapists, smart data-analytics to individualize treatment and a pay-only-for-outcomes business model."
237,Modern Treasury,s2018,"An API for moving, managing, and reconciling money"
238,Momentus,s2018,Shuttle service for small satellites
239,Mutiny,s2018,"Mutiny helps companies personalize their website for each visitor, in order to convert customers."
240,Mylk Guys,s2018,Amazon for Vegans
241,Nestor,s2018,Nestor leverages the power of AI to advise managers on how to find the best way to coach their people. Our cloud platform helps companies promote a growth mindset & drive innovation in the organization through coaching practices and applied learning.
242,Numericcal,s2018,"Easily deploy, optimize and manage Deep Learning modules on IoT and mobile devices."
243,OkCredit,s2018,Indian SMBs use OkCredit to track credit extended by them to their customers. We are building the biggest and fastest growing credit network in India where $500B of credit is still issued informally and handled on paper!
244,OpenPhone,s2018,OpenPhone gives entrepreneurs and professionals a supercharged business phone number in an app.
245,OpenWrench,s2018,We help retailers and restaurant chains manage repairs and maintenance across all their locations.
246,Osh's Affordable Pharmaceuticals,s2018,Making low cost versions of high cost generic drugs.
247,Outvote,s2018,An app to get Democrats to go vote.
248,Oxygen,s2018,"Oxygen is banking and lending for the gig-economy. We use AI to analyze personal cash flow and credit report data to underwrite freelancers. Free FDIC-insured bank accounts, debit cards, and loans at Avg 27% interest."
249,Paladin Drones,s2018,We deploy autonomous drones to 911 calls. Our software gives first responders a live overhead view of a scene before they arrive.
250,Papa,s2018,"Papa connects college students to senior citizens for companionship, transportation, house help, tech lessons, and more. The students are like ""Grandkids On-Demand."""
251,Penta Medical,s2018,Smart hardware for injury recovery.
252,Phiar,s2018,"We are developing a revolutionary augmented reality navigation for driving app, with real-time artificial intelligence safety detections. This is self-driving computer vision technology working completely on a smartphone."
253,Plato Design,s2018,"We provide design services to startups. Plato Design is building the first ML-enabled design firm, and we're excited to work with YC companies on their brand and product design needs."
254,Plexus,s2018,High-performance gloves for VR and AR
255,Prodigal Technologies,s2018,Software for lenders to boost collection effectiveness
256,Public Recreation,s2018,"A new type gym, 100% outdoors, offering unlimited fitness classes for $60/month."
258,RealtyBits,s2018,We tokenize U.S. Real Estate Investment Funds
259,Rebellyous Foods,s2018,Seattle Food Tech (SFT) is a food manufacturing technology and production company with a mission to make alternative meat production as affordable as factory-farmed animal-based meat.
260,Regology,s2018,"Regulatory compliance with AI - improve compliance, reduce cost"
261,RevenueCat,s2018,RevenueCat is a simple API for managing in-app subscriptions.
262,Scanwell Health,s2018,"Scanwell is the first and only FDA-cleared urine testing app. Our first test provides on-demand relief for urinary tract infections, allowing anyone to test their urine in 3 minutes and receive a prescription for antibiotics the same day."
263,Send Reality,s2018,"We enable anyone to capture spaces in 3D, starting with real estate."
264,Shelf Engine,s2018,Shelf Engine replaces the grocery buyer and guarantees sales for the grocery store.
265,Skydrop,s2018,A platform that connects LATAM businesses with shipping providers- consolidating volume to offer discounted rates and a managing shipping software.
266,Snark AI,s2018,Cloud for AI.
267,Sparkswap,s2018,Trade cryptocurrency without depositing funds on an exchange.
268,SPATE,s2018,Trends prediction for marketers
269,Spero Foods,s2018,recreating dairy & eggs from plants
270,Stem Sugar,s2018,Cambridge Glycoscience makes sugar substitutes that actually work in food.
271,Sterblue,s2018,Software for drones to inspect power lines and wind turbines
272,Synthetic Minds,s2018,Secure blockchain smart contracts using program synthesis
273,Synvivia,s2018,Synvivia develops engineered organisms that safely and effectively treat disease.
274,Tall Poppy,s2018,Protecting your employees against online harassment
275,Tenderd,s2018,Tenderd is a heavy equipment rental marketplace for Middle East and Africa.
276,The Buttermilk Company,s2018,"Instant, fresh ethnic food that actually taste homemade. We're disrupting the ethnic food market by turning crowdsourced recipes into easy-to-make and fresh food for the growing first/second-gen immigrant population.,"
277,The Good Food Institute,s2018,"GFI is focused on working to make plant-based and clean meat, dairy, and eggs (real meat, dairy, and eggs, but produced without the use of animals) as delicious, price-competitive, and convenient as possible. Meet our team at www.gfi.org/our-team."
278,Titan,s2018,"Titan is the new BlackRock. We build, manage, and explain investment funds via our mobile app."
279,Toybox,s2018,Gather feedback and report bugs on your website.
280,Ubits,s2018,Lynda.com for Latin America
281,Viaopt,s2018,Uber pool for corporate trucking fleets
282,ZiffyHomes,s2018,"ZiffyHomes is a ""technology driven home rental marketplace"" to make lives better. We are a property management solution, offering ready to move-in individual rooms to tenants for long stays and freedom to move across our homes."
283,á la couch,s2018,An online food court.
284,Aerones,w2018,Industrial Heavy lift drones for hi-pressure cleaning and firefighting.
285,AesculaTech,w2018,AesculaTech is developing smart materials to enable next generation medical devices
287,AlgoSurg Inc,w2018,We make software for surgeons to plan bone surgeries in 3D.
288,Anjuna,w2018,"Anjuna creates a software perimeter around applications that provides hardware-grade security for the application, which completely removes the need to secure or patch the host or the VM."
289,ArchForm,w2018,Replacing orthodontic braces with our clear aligner and software
290,Aspire,w2018,Reinventing Banking for Small Businesses in SEA
291,Atrium,w2018,Modern law firm for startups powered by proprietary technology
292,Avro Life Science,w2018,Skin patches for generic drug delivery.
293,Beanstalk,w2018,"We grow heirloom produce in automated, indoor farms."
294,Bear Flag Robotics,w2018,Bear Flag Robotics is developing autonomous driving technology for farm tractors. Bear Flag allows growers to automate and optimize many of their most common tasks. This addresses the farm labor shortage and removes workers from hazardous conditions.
295,Ben,w2018,"The easiest way to learn about, buy, and store cryptocurrency."
296,Biobot Analytics,w2018,We analyze city sewage to estimate opioid consumption.
297,BioRender,w2018,The Adobe Creative Suite for Life Sciences
298,BloomJoy,w2018,Associated Press for lifestyle content.
299,BUMP,w2018,Social P2P Marketplace for Gen Z
300,California Dreamin,w2018,Cannabis infused beverages
301,Callisto,w2018,We create tech to combat sexual assault and harassment.
302,CaptivateIQ,w2018,CaptivateIQ makes it easy to pay your sales teams' commissions.
303,ClearBrain,w2018,Predictive Analytics for Growth Teams
304,CodeStream,w2018,"CodeStream's cloud-based service and IDE plugins help dev teams discuss, review, and understand code."
305,Cognition IP,w2018,First tech-enabled patent law firm.
306,CoinTracker,w2018,The most trusted cryptocurrency wallet tracker and tax calculator
307,Correlia Biosystems,w2018,Next generation blood testing to provide 1000x more data to pharma companies
308,Culture Biosciences,w2018,We run automated bioreactors as a service.
309,Curious Fictions,w2018,Patreon for professional authors.
310,Dana Cita,w2018,"Financial services for the unbanked in Indonesia, starting with student loans."
311,Dear Brightly,w2018,"DearBrightly makes personalized prescription skincare products, accessible to everyone."
312,Delphia,w2018,Delphia builds artificially-intelligent surveys that help people make important decisions.
313,Edwin,w2018,"Edwin is an AI-powered English learning service delivered by chatbots, voice assistants, and humans. It prepares students for standardized tests, such as TOEFL and TOEIC. Edwin provides better outcomes in ⅓ the time at ⅓ the cost of existing methods."
314,EnvKey,w2018,1Password for API keys
315,Evry Health,w2018,"Better health insurance for companies with 200-1,000 employees that costs up to 20% less."
316,Flinto,w2018,"Pay friends, merchants, and services in Mexico through your phone, even without a bank account."
317,Gainful,w2018,"Personalized protein powder, delivered directly to your doorstep."
318,Glimpse K12,w2018,Glimpse eliminates ineffective spending in schools.
319,Groww,w2018,Investing made simple for everyone in India
320,Haiku,w2018,App builder that unifies design and code
321,HelloVerify,w2018,Helloverify is an online background screening platform (Checkr for India).
322,Hexel,w2018,Create a cryptocurrency for your community.
324,Hunter2,w2018,Hunter2 trains engineering teams in application security through interactive online labs. Developers get hands-on practice exploiting and patching real web apps written in their tech stack.
