Organization Name,Organization Name URL,Categories,Full Description
Anheuser-Busch InBev,https://www.crunchbase.com/organization/anheuser-busch,"Brewing, Consumer Goods, Food and Beverage","Anheuser-Busch InBev is the leading global brewer and one of the world’s top five consumer products companies. For 2008, the combined company would have generated revenues of 39 billion USD.  With a dream to become The Best Beer Company in a Better World, the company has a strong, balanced portfolio. With four of the top ten selling beers in the world, Anheuser-Busch InBev holds the number one or number two position in over 20 key markets. It has a key presence in both developed and developing markets."
Authentic Brands Group,https://www.crunchbase.com/organization/authentic-brands-group,"Fashion, Lifestyle, Retail","Authentic Brands Group is a brand development and licensing company. Headquartered in New York City, ABG manages, elevates and builds the long-term value of more than 28 consumer brands by partnering with best-in-class manufacturers, wholesalers and retailers."
Aura,https://www.crunchbase.com/organization/insikt-inc-,"Banking, Consumer, Consumer Lending, Finance, Financial Services, FinTech, Lending, Software, Venture Capital","Aura is a technology-powered, Community Development Financial Institution (CDFI) that provides small, affordable loans to working families in America. Our mission is to build financially healthy low-income communities, by providing empowering financial services to America’s 66-million underbanked and unbanked. Aura has pioneered a cloud-based lending technology that enables trusted local businesses to submit credit applications for centralized review and approval by its proprietary scoring algorithms."
Amperity,https://www.crunchbase.com/organization/amperity,"Advertising, Analytics, Artificial Intelligence, Big Data, Consumer, Data Center Automation, Machine Learning, Marketing, Software","Amperity’s mission is to help people use data to serve the customer. They are revolutionizing the way companies connect, identify, and understand their customers by leveraging artificial intelligence to deliver a truly comprehensive and actionable Customer 360. This view improves marketing performance, fuels accurate customer insights, and enables world-class customer experiences. With Amperity, technical teams are freed from endless integration and data management, and business teams have direct access to the comprehensive data they need to build long-term customer loyalty and drive growth. Amperity serves many of the world’s most loved brands, including Alaska Airlines, Starbucks, The Gap Inc, Moët Hennessy USA, Wynn Resorts, Kendra Scott, Lucky Brand, Planet Fitness, Seattle Sounders, Stanley, and many more."
Acorns,https://www.crunchbase.com/organization/acorns-grow,"Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Acorns Support is a micro investing app in the U.S. Its easy-to-use, mobile-first technology makes it simple for anyone to set aside and invest life's spare money. Acorns allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some of the world's top asset managers (including Vanguard and BlackRock). Customers grow their wealth in one of five portfolios constructed with help from world-renowned Nobel Laureate economist Dr. Harry Markowitz. Acorns smart portfolio algorithms automatically work in the background of life, helping users build wealth naturally, pennies at a time."
AfterPay,https://www.crunchbase.com/organization/afterpay,"Mobile Payments, Payments",AfterPay enables us to offer customers the popular payment method of open invoice with payment guarantee in Europe.
AppyParking,https://www.crunchbase.com/organization/appyparking,"Apps, Automotive, Autonomous Vehicles, Internet of Things, Parking, SaaS, Smart Cities, Ticketing","AppyParking is on a mission to make parking a truly forgettable experience. We understand how fragmented infrastructures and stand-alone solutions cause stress and hassle for the most mundane of daily tasks, like finding and paying for a parking space. We know there’s a better way of doing things and so we’re building innovative and future-ready solutions from the bottom up, to improve the way parking is accessed and managed.   Our holistic kerbside management platform provides a ‘future of mobility’ conduit between the private and public sector, ensuring standardised kerbside data can flow between local authorities and mobility operators, unlocking the barriers that hinder the adoption of intelligent mobility solutions. Armed with best-in-class data, mobility APIs and our Govtech platform, we're now on a global mission to make the kerb work for everyone, physically, socially and commercially.  AppyParking was named 2018 Best Parking App by Auto Express and 2017 Best UK Start-Up by Credit Suisse and received the 2019 Smarter Travel Innovation Award from Smarter Travel. AppyParking was founded in 2013 and is headquartered in England, UK."
Argo AI,https://www.crunchbase.com/organization/argo-ai,"Artificial Intelligence, Autonomous Vehicles, Transportation","Argo AI is building self-driving technology to improve the way the world moves. Since we began in 2016, we’ve partnered with leading companies in the automotive sector to make vehicles safer, more affordable, convenient, and accessible for everyone -- regardless of age or ability to get behind the wheel."
Ather Energy,https://www.crunchbase.com/organization/ather-energy,"Automotive, CleanTech, Electric Vehicle, Electronics, Manufacturing, Renewable Energy","Ather Energy, India’s first intelligent electric vehicle manufacturer was founded in 2013 by IIT Madras alumni, Tarun Mehta and Swapnil Jain. Backed by founders of Flipkart, Tiger Global, Hero Motocorp and others, Ather Energy has designed India’s first truly intelligent electric scooters - Ather 450 & Ather 340 - powered by a comprehensive public charging network, Ather Grid, built and designed in India. With 31 charging Points in Bengaluru and 7 charging Points in Chennai, Ather Grid is the largest fast charging network for electric vehicles in the country. The company’s product line has won 25 awards in the design, automotive and technology categories. With over 51 patent applications, 113 trademarks and 123 design registrations to its name, Ather Energy aims to provide consumers with the best possible ownership experience. Ather Energy currently operates in Bengaluru and will be entering the Chennai market in the coming weeks, followed by other major cities across the country."
Allbirds,https://www.crunchbase.com/organization/allbirds,"Fashion, Manufacturing, Shoes, Shopping","Allbirds manufactures an eco-friendly wool shoes. Allbirds is on a mission to prove that comfort, good design and sustainability don’t have to be mutually exclusive. The company is dedicated to making the most sustainable footwear using premium natural materials, designed for the to and fro of everyday life. The company's commitment to making better shoes in a better way is fueled by a belief that the shoe industry needs to focus less on flash and more on thoughtfulness. Allbirds is based in San Francisco and founded in 2015."
Axis Bank,https://www.crunchbase.com/organization/axis-bank,"Banking, Financial Services, Insurance, Wealth Management","Axis Bank is the third largest private sector bank in India. Axis Bank is one of the first new generation private sector banks to have begun operations in 1994. The Bank was promoted in 1993, jointly by Specified Undertaking of Unit Trust of India (SUUTI) (then known as Unit Trust of India),Life Insurance Corporation of India (LIC), General Insurance Corporation of India (GIC), National Insurance Company Ltd., The New India Assurance Company Ltd., The Oriental Insurance Company Ltd. and United India Insurance Company Ltd. The shareholding of Unit Trust of India was subsequently transferred to SUUTI, an entity established in 2003. With a balance sheet size of Rs.2,85,628 crores as on 31st March 2012, Axis Bank is ranked 9th amongst all Indian scheduled banks. Axis Bank has achieved consistent growth and stable asset quality with a 5 year CAGR (2007-12) of 31% in Total Assets, 30% in Total Deposits, 36% in Total Advances and 45% in Net Profit."
Accolade,https://www.crunchbase.com/organization/accolade,"Employee Benefits, Health Care","Accolade is a personalized health and benefits solution that can dramatically improve the experience, outcomes and cost of healthcare for employers, health plans and their members. With a unique blend of compassionate advisors, clinical experts and intelligent technologies, They engage individuals and families in their health, establish trust, and influence their decisions at every stage of care. Connecting the widest array of personal health data and programs, Accolade presents a single point of contact to the most effective health and benefits resources, while coordinating with providers at every step. Accolade consistently achieves 70 and higher Net Promoter Scores, 98% consumer satisfaction ratings, and up to 15% employer cost savings. Accolade has been recognized as one of the nation’s 25 most promising companies by Forbes, a fastest-growing private healthcare company by Inc. 5000, and is consistently rated a Top Workplace across the country."
Arrcus,https://www.crunchbase.com/organization/arrcus,"Computer, Information Technology, Software","Arrcus was founded to enrich human experiences by interconnecting people, machines, and data. Their mission is to provide software-powered network transformation for the interconnected world."
Arcadia Power,https://www.crunchbase.com/organization/arcadia-power-2,"Clean Energy, Energy, Renewable Energy, Solar","Arcadia Power is a nationwide home energy platform providing clean energy and savings. Arcadia Power is remaking the customer utility experience from the ground-up, and personalizing it. They offer customers seamless monthly billing, access to wind energy, community solar programs, and on-bill financing of energy efficient products. Founded in 2014, Arcadia has customers across all 50 states, and is a Certified B-Corp."
Armory,https://www.crunchbase.com/organization/armory,"Cloud Computing, Cloud Infrastructure, Enterprise Applications, Enterprise Software, Information Technology, Internet, Software","Armory optimizes every part of a software development lifecycle (SDLC), enabling sophisticated multi-cloud deployment strategies that leverage advanced features like, 1-click rollbacks, automated canaries, pipelines as code, automated load testing, SLA-driven rollouts or rollbacks, blue or green deployments, chaos engineering, and 1-click app creation. The company has a platform called, Spinnaker, a cloud-native software delivery created and open sourced by Netflix and Google, and battle-tested in production by the brands. It is partnered with availability, powerful feature extensions, and 24/7 expert support and services. Installing Armory in a Kubernetes cluster enables anyone to deploy workloads to multiple cloud targets across AWS, GCP, Azure, PCF, DC or OS, Kubernetes, ECS, Oracle's BMC, OpenStack, and more. Armory was founded on 2016 and is headquartered in San Mateo, California."
Avalara,https://www.crunchbase.com/organization/avalara,"E-Commerce, Enterprise Software, Software","Sales Tax is complicated. Avalara makes it simple for businesses of all sizes by creating cost-effective solutions that integrate with your existing software. This provides transparent transactions, accurate tax compliance, painless administration and effortless reporting.  Avalara offers full service sales tax management tools utilizing progressive technology to automate the burden of statutory transactional tax compliance. Avalara’s flagship product, AvaTax has become the automated sales tax compliance solution for businesses all over the world. In fact, Avalara leads the market and integrates seamlessly into more financial and e-Commerce applications than any other product or service available. Originally focused on the needs of small and medium organizations, Avalara’s services can be leveraged by businesses of any size and varying levels of complexity. Specialties sales tax automation, channel marketing, sales tax compliance, tax return filing services, customer support, integrations into over 80 ERP and e-commerce applications, exemption certificate management"
Alibaba Group,https://www.crunchbase.com/organization/alibaba,"Association, B2B, E-Commerce, Information Technology, Infrastructure, Internet, Marketplace, Shopping","Alibaba Group’s mission is to make it easy to do business anywhere.  They enable businesses to transform the way they market, sell, operate and improve their efficiencies. They provide the technology infrastructure and marketing reach to help merchants, brands and other businesses to leverage the power of new technology to engage with their users and customers and operate in a more efficient way. Their businesses are comprised of core commerce, cloud computing, digital media and entertainment, and innovation initiatives. In addition, Ant Financial, a company in which they have agreed to acquire a 33% equity stake, provides payment and financial services to consumers and merchants on their platforms. An ecosystem has developed around their platforms and businesses that consists of consumers, merchants, brands, retailers, other businesses, third-party service providers and strategic alliance partners."
AllTrails,https://www.crunchbase.com/organization/alltrails-com,"Android, Fitness, iOS, Sports","AllTrails is the most trusted and used outdoors platform in the world, reaching 45 million people a year through alltrails.com, the AppStore and Play Store. We help people explore the outdoors with hand-curated trail maps along with photos, reviews, and user recordings crowdsourced from a community of 10 million registered hikers, mountain bikers and trail runners in 102 countries. The iOS and Android apps are often ranked in the top-10 in Health and Fitness in multiple countries and have been downloaded by over 12 million people worldwide."
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,"Cloud Security, Compliance, Cyber Security, Security, Software, Virtualization","Aqua Security helps enterprises secure their cloud native, container-based and serverless applications from development to production. Aqua bridges the gap between DevOps and security, promoting business agility and accelerating digital transformation. Aqua’s Cloud Native Security Platform provides full visibility and security automation across the entire application lifecycle, using a modern zero-touch approach to detect and prevent threats while simplifying regulatory compliance. Aqua customers include some of the world’s largest financial services, software development, internet, media, hospitality and retail companies, with implementations across the globe spanning a broad range of cloud providers and on-premise technologies. Aqua’s Container Security Platform provides full visibility into container activity, allowing organizations to detect and prevent suspicious activity and attacks, providing transparent, automated security while helping to enforce policy and simplify regulatory compliance."
AU10TIX,https://www.crunchbase.com/organization/au10tix,"Cyber Security, Identity Management, Security","The company develops and implements solutions that automate the capture, authentication, validation and generation of digital records of identifying documents such as Passports, identity cards, driving licenses etc.  AU10TIX solutions act as Secure Customer Enrollment Gateway that help detect ID fraud and enable effective KYC compliance; replace slow, error-prone and costly manual processing; speed up customer processing and increase volume handling capacity, reduce work, material and logistics costs of papaer-based rec.ord management; and boost efficiency across CRM and risk management operations.  The company's applications were originally designed for sensitive environments such as airports and secured facilities. AU10TIX later diversified into regulated commercial and public services markets like financial services, telecom, car sales and rental, gaming etc."
App Annie,https://www.crunchbase.com/organization/app-annie,"Analytics, Big Data, Mobile, SaaS","App Annie is a decision­-making platform for the mobile app economy. App Annie combines the analytics of one’s own apps with a granular understanding of the competition and market to provide a unique 360­-degree view of one’s mobile business. The App Annie platform is relied upon by over 90 percent of the top 100 publishers and more than 700,000 apps. Customers of App Annie's Intelligence product include the likes of Electronic Arts, Google, LinkedIn, Line, Microsoft, Nexon, Nestle, Samsung, Tencent, Bandai Namco, and Universal Studios. The company has tracked over 83 billion downloads and more than US $25 billion in gross revenues to date, the industry leader by far. App Annie is a privately held global company of more than 300+ employees headquartered in San Francisco with offices in Amsterdam, Beijing, Hong Kong, London, Moscow, New York, Seoul, Shanghai, and Tokyo. The company is backed by leading venture investors including eVentures, Greycroft Partners, IDG Capital Partners, Infinity Venture Partners, Institutional Venture Partners and Sequoia Capital with $94 million raised to-date. The App Annie product suite consists of three main products: Store Stats, App Store Analytics, and Intelligence. It has also released products to track the eBooks and mobile ad industries."
Aye Finance,https://www.crunchbase.com/organization/aye-finance,"Finance, Financial Services, Small and Medium Businesses","Aye Finance provides financial services to micro and small businesses in Northern India. There are thousands of profitable small and micro businesses across India which are locked out of the financial system. Though these micro enterprises employ millions of people, their biggest barrier to growth is lack of access to capital. We came together because we believed we could overcome this financing challenge and unlock a massive business opportunity. We have harnessed technology to keep our transaction costs low and designed smart processes to efficiently screen the applicants."
ATTAbotics,https://www.crunchbase.com/organization/attabotics,"Artificial Intelligence, Industrial Automation, Machine Learning, Robotics, Software","ATTAbotics provides a robotic warehousing and fulfillment system that has the potential to redefine the market. ATTAbotics has taken a different perspective on the technology. Instead of developing technology to speed the human workload, ATTAbotics is a robotic-centric storage and retrieval system.  A goods to person system that can be deployed in a smaller space, for a smaller entry level cost, providing industry leading throughput and an opportunity to redefine the warehouse space from large, hub and spoke systems, to small, agile, nodal delivery stations. The ATTAbotics system provides significant benefits to almost any industry that requires a storage and retrieval system, however, consumer demand and expectations for timeliness and service excellence from the e-commerce, m-commerce and omni-channel retail spaces is driving a requirement for new technologies within the traditional warehousing market and ATTAbotics has emerged to address these challenges."
Alteryx,https://www.crunchbase.com/organization/alteryx,"Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Machine Learning, Predictive Analytics","Alteryx, Inc. was formed in 2011 and is a leader in self-service data science and analytics. Alteryx provides analysts with the unique ability to easily prep, blend and analyze all of their data using a repeatable workflow, then deploy and share analytics at scale for deeper insights in hours, not weeks.  Analysts love the Alteryx Analytics platform because they can connect to and cleanse data from data warehouses, cloud applications, spreadsheets and other sources, easily join this data together, then perform analytics – predictive, statistical and spatial – using the same intuitive user interface, without writing any code.  Alteryx customers range from many of the world’s largest and best known brands, including Experian, Kaiser Permanente, Ford, and McDonald’s, to growing organizations such as Rosenblatt Securities, Veritix, and Consumer Orbit, who all use the power of data for a competitive edge. Alteryx was founded by Dean Stoecker, Alteryx CEO & Chairman; Ned Harding, Alteryx CTO; and Olivia Duane Adams, Alteryx Chief Customer Officer. It is funded by Insight Venture Partners, Iconiq Capital, Meritech Capital, SAP Ventures, Thomson-Reuters, and Toba Capital. Headquartered in Irvine, California, and with offices in Broomfield, Silicon Valley, Dallas, Chicago, Canada, the United Kingdom, Germany, Denmark, and Australia, Singapore, France and Japan.  Alteryx empowers over 3,500 customers worldwide.  Alteryx is a publicly traded company listed on the NYSE with the ticker symbol of AYX You can reach Alteryx from its website or by calling 1-888-836-4274. Alteryx is a registered trademark of Alteryx, Inc."
AlphaSense,https://www.crunchbase.com/organization/alphasense,"Analytics, Artificial Intelligence, Finance, FinTech, Information Technology, Search Engine, Software","AlphaSense transforms the way companies get information and make critical decisions with its AI-powered business insights platform. The company mission is to organize and semantically index global investment and market research data, allowing clients to be more efficient and outdo the competition. Used by the largest and fastest-growing corporations and financial firms worldwide, AlphaSense is headquartered in NYC with offices in London, Helsinki, San Francisco, and Boston."
Afiniti,https://www.crunchbase.com/organization/afiniti,"Analytics, Artificial Intelligence, Big Data, Customer Service, Enterprise Software","Afiniti provides artificial intelligence (AI) solutions that enable the transformation of enterprise profitability. It transforms the way humans interact by applying AI to discover, predict, and affect patterns of interpersonal behavior. The company enables the real-time, optimized pairing of individual contact center agents with individual customers in large enterprises. It provides its services to a range of sectors, including airlines, financial services, hospitality, insurance, politics, retail, satellite TV, social media, telecommunications, and utilities. Founded in 2006, Afiniti is based in Washington, District of Columbia."
AppLovin,https://www.crunchbase.com/organization/applovin,"Advertising, Mobile, Mobile Apps","AppLovin helps indie and established mobile game developers connect with billions of global users each month so they can get discovered. Founded in 2012, the company provides a set of solutions developers need to monetize, publish, understand, and grow their businesses—all in one place. Developers use the AppLovin marketing platform and powerful analytics tools to acquire new users and monetize their games. Lion Studios, AppLovin’s independent media division, gives developers access to proven resources for publishing and promoting their apps. AppLovin is headquartered in Palo Alto with offices in San Francisco, New York, Dublin, Beijing, Tokyo, Seoul, and Berlin."
AppsFlyer,https://www.crunchbase.com/organization/appsflyer,"Advertising, Analytics, Android, Apps, iOS, Marketing, Mobile, SaaS, Software","AppsFlyer is the global leader in mobile attribution and marketing analytics. Data-driven marketers trust AppsFlyer for independent measurement solutions and innovative tools to grow and protect their mobile business. AppsFlyer's platform processes billions of mobile actions every day, empowering marketers and developers to maximize the return on their marketing investments. AppsFlyer's People-based Attribution, NativeTrack™ Attribution, Marketing Analytics Data, OneLink's Deep linking capabilities and Protect360 enterprise-grade fraud solutions have made AppsFlyer's platform the go-to resource for the most successful mobile apps in the world. With Facebook, Google, Twitter, Pinterest, Snap Inc., Tencent and 4,600+ other integrated partners, and clients including HBO, Waze, Alibaba, Skyscanner, Activision and 12,000+ leading brands worldwide, AppsFlyer has 15 global offices to support marketers everywhere. To learn more, visit www.appsflyer.com."
Acer,https://www.crunchbase.com/organization/acer,"Computer, Consumer Electronics, Hardware, Information and Communications Technology (ICT)","Established in 1976, Acer is an information and communication technology company dedicated to the research, design, marketing, sale and support of innovative products that enhance people's lives. Acer's green supply chain delivers environmentally friendly PCs, displays, projectors, servers, tablets and smartphones — tools their customers need to explore beyond limits and experience more. Acer employs 7,400 people and ranks No. 4 for total PCs globally (IDC 2013). Estimated revenues for 2013 reached US$12.03 billion. Acer's channel business model is instrumental to the company's success. Acer designs environmentally friendly products and, with its vendors, has established a green supply chain. Acer's Commercial Division is dedicated to the business world, from SoHo, SMB, Large Enterprise, to Public Sector and Educational Sector. Acer delivers a full range of hardware and software products to meet the demands of today’s business environment. Our goal is to offer revolutionary performance, unmatched system responsiveness and energy efficiency without compromises. With over 30 years of experience, Acer is also dedicated to serving the needs of the education market and empowering knowledge through technology. By creating innovative technology for the classroom, Acer helps students explore beyond limits with new ways of communication and interaction. Empowering educators to keep pace with today’s high-tech world."
Affirm,https://www.crunchbase.com/organization/affirm,"Consumer Lending, E-Commerce, Fashion, Financial Services, FinTech, Payments, Personal Finance, Retail","Affirm was founded with a goal to create honest financial products and services that empower consumers and improve lives. Our goal is to revolutionize the banking industry to be more accountable and accessible to consumers. Today, Affirm provides millions of shoppers an alternative to traditional credit cards at the point of sale, giving them the flexibility to buy now and make simple monthly payments for their purchases. Unlike payment options that have compounding interest and unexpected costs, Affirm shows customers upfront exactly what they’ll pay each month — with no hidden fees and no surprises. Affirm partners with over 2,000 merchants to give shoppers the option to pay with Affirm at checkout including well-known brands across retail including home furnishings, travel, personal fitness, electronics, apparel and beauty, and more. Loans are made in partnership with Afirm’s originating bank partner Cross River Bank, a New Jersey State Chartered Commercial Bank, Member FDIC."
American Well,https://www.crunchbase.com/organization/american-well,"Biotechnology, Health Care, Information Technology, SaaS","American Well is an IT company that connects users instantly with doctors over video feed. The company's mobile and web service connects doctors with patients for live, on-demand video visits over the internet and handles all the administration, security, and record keeping services. American Well’s mission is to improve access to quality care and make it more affordable and transparent for consumers.    American Well was founded by Dr. Ido Schoenberg and Roy Schoenberg in 2006."
Adaptive Biotechnologies,https://www.crunchbase.com/organization/adaptive-biotechnologies,"Biotechnology, Health Care, Therapeutics",Adaptive Biotechnologies translates a scale and precision of the adaptive immune system into products to diagnose and treat disease. The company brings accuracy and sensitivity of our immunosequencing platform into laboratories around the world to drive groundbreaking research in cancer and other immune-mediated diseases. We are also committed to translating immunosequencing discoveries into clinical diagnostics and therapeutic development to improve patient care.
Acko General Insurance,https://www.crunchbase.com/organization/acko-general-insurance,"Financial Services, Insurance, Private Social Networking","Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers. The company gives them killer prices, extreme convenience, and stress-free claims. Acko General Insurance was by Varun Dua in 2017 and is headquartered in Maharashtra, India."
Apervita,https://www.crunchbase.com/organization/pervasive-health,"Analytics, Content Delivery Network, Developer Platform, Health Care, Information Technology, Marketplace","Apervita, Inc., formerly known as Pervasive Health, is a platform that enables the digitalization of massive amounts of health analytics at once. Health enterprises use Apervita technologies to turn their medical intellectual property to computable content which in turn can be commercialized globally through the company’s market.  Professionals can browse through a broad selection of curated medical content, subscribe to it, connect their own data sets, and publish results into their workflow. The available content covers clinical, operational, and financial use cases, including readmission prevention, chronic disease management, protocol compliance, rapid detection of patient health deterioration, infection early warnings, health complication risks, missing diagnosis detection, problem list improvement, triage prediction, and personal medical device assessment. The HIPAA secure platform supports open standards and can be connected through modern web services to EMRs, portals, and point-of-care systems. Apervita, Inc. was founded in January 2011 and is based in Chicago, Illinois."
Avito,https://www.crunchbase.com/organization/avito-ru,"Advertising, Classifieds, Internet, Online Auctions, Real Estate","Avito operates the online trading community Avito.ru. It provides advertising and marketing services.  Avito offers a web based platform for free online classified advertisements in Russia. Buyers and sellers use its line of business for the exchange of products and services such as coins, collectibles, computers, memorabilia, stamps and toys, as well as concert and sporting tickets.  Jonas Nordlanderr and Filip Engelbert founded Avito in 2007. Its headquarters is in Moscow in the Russian Federation."
